neighborhood,building_id,algorithm,distance_meters,time_minutes,time_seconds,num_traffic_signals,num_crossings,safety_penalties,total_cost,detour_factor,straight_line_distance,num_path_nodes,avg_walking_speed_kmh,signal_density_per_100m,nodes_expanded_forward,nodes_expanded_backward,edges_scanned_forward,edges_scanned_backward,expansions_total,edges_scanned_total
neighborhoodB,319162884,shortest path,1613.2891842913555,23.447179304645193,1406.8307582787115,7,0,10110.0,1613.2891842913555,1.3587431684802742,1187.339316006119,72,4.128315384968482,0.43389617113653317,188,288,467,745,476,1212
neighborhoodB,319162884,few_traffic_lights path,1694.5800289709623,23.560833290069002,1413.64999740414,5,0,7800.0,1693.103010139837,1.4272078807859752,1187.339316006119,71,4.315416203089648,0.29505835749972,1250,1811,2873,4313,3061,7186
neighborhoodB,319162884,safest path,1755.4020492034392,23.574519528306627,1414.4711716983977,5,0,4450.0,6205.402049203437,1.478433355603962,1187.339316006119,78,4.467710267678649,0.28483503265071863,533,880,1301,2170,1413,3471
neighborhoodB,319162884,fastest path,1615.7241908896117,23.047383805223863,1382.8430283134317,6,0,9880.0,1382.8430283134317,1.3607939778533242,1187.339316006119,73,4.206267065826523,0.3713505085726558,377,438,921,1129,815,2050
neighborhoodB,319162891,shortest path,1929.6837269956686,26.781975328926304,1606.9185197355782,6,0,13600.0,1929.6837269956686,1.3821719296962838,1396.1242342837147,106,4.323094999444979,0.3109317820356718,215,451,536,1148,666,1684
neighborhoodB,319162891,few_traffic_lights path,2174.0339997131387,28.48958447507665,1709.375068504599,3,2,11500.0,1660.9118998995982,1.5571923660708695,1396.1242342837147,106,4.578586960329381,0.13799232212540588,1623,1177,3692,2832,2800,6524
neighborhoodB,319162891,safest path,2390.5756279371576,31.03719382484335,1862.2316294906009,5,0,4480.0,6870.5756279371535,1.7122943426045811,1396.1242342837147,87,4.621375839764838,0.20915464633572503,661,1180,1588,2942,1841,4530
neighborhoodB,319162891,fastest path,1929.6837269956686,26.781975328926304,1606.9185197355782,6,0,13600.0,1606.9185197355782,1.3821719296962838,1396.1242342837147,106,4.323094999444979,0.3109317820356718,542,583,1333,1472,1125,2805
neighborhoodB,319162900,shortest path,1674.4633382349195,24.67307056159827,1480.3842336958962,8,0,7530.0,1674.4633382349195,1.3639842609647768,1227.6265834992362,74,4.071961778866127,0.4777650138600787,137,307,342,794,444,1136
neighborhoodB,319162900,few_traffic_lights path,1749.9517353353206,24.24443460320923,1454.6660761925536,5,0,7060.0,1712.4831073673622,1.4254755956385734,1227.6265834992362,70,4.330771405418578,0.2857221658768729,1061,2002,2462,4753,3063,7215
neighborhoodB,319162900,safest path,1810.7737555677977,24.258120841446853,1455.4872504868113,5,0,3710.0,5520.773755567796,1.4750199937886277,1227.6265834992362,77,4.478765113101305,0.276125053426797,484,639,1172,1584,1123,2756
neighborhoodB,319162900,fastest path,1695.097160048111,24.029868197470652,1441.7920918482391,6,0,7110.0,1441.7920918482391,1.3807921584887752,1227.6265834992362,71,4.232475549474385,0.3539620112294746,379,511,906,1299,890,2205
neighborhoodB,319162914,shortest path,1556.203452685074,22.742417186049124,1364.5450311629475,7,0,9420.0,1556.203452685074,1.365342883196079,1139.7894784072237,69,4.105641295613103,0.44981265064810116,200,289,500,747,489,1247
neighborhoodB,319162914,few_traffic_lights path,1592.078872969977,22.17605808302774,1330.5634849816645,5,0,3900.0,1657.2276055394918,1.396818362628506,1139.7894784072237,71,4.307561425955485,0.3140547924408195,1278,1761,2936,4196,3039,7132
neighborhoodB,319162914,safest path,1698.3163175971576,22.869757409710566,1372.1854445826339,5,0,3760.0,5458.316317597157,1.4900263160618366,1139.7894784072237,75,4.4556213356492735,0.29440923037671746,501,628,1235,1560,1129,2795
neighborhoodB,319162914,fastest path,1558.6384592833303,22.342621686627798,1340.5573011976678,6,0,9190.0,1340.5573011976678,1.3674792484147327,1139.7894784072237,70,4.185646110320667,0.3849513634328534,330,441,814,1137,771,1951
neighborhoodB,319162923,shortest path,1663.139449909008,24.062614682640902,1443.756880958454,7,0,9970.0,1663.139449909008,1.3497286296610356,1232.2028394157135,73,4.14702925308151,0.4208907437306581,196,297,486,769,493,1255
neighborhoodB,319162923,few_traffic_lights path,1744.4302945886147,24.17626866806471,1450.5761200838826,5,0,7660.0,1710.550603106015,1.4157005963529425,1232.2028394157135,72,4.329279224695814,0.2866265287590147,1227,1733,2822,4128,2960,6950
neighborhoodB,319162923,safest path,2076.466233122503,27.291348562622442,1637.4809137573466,5,0,4010.0,6086.466233122502,1.6851659213081531,1232.2028394157135,87,4.565108745046875,0.2407937061649786,689,824,1661,2034,1513,3695
neighborhoodB,319162923,fastest path,1665.5744565072641,23.662819183219572,1419.7691509931742,6,0,9740.0,1419.7691509931742,1.3517047706991545,1232.2028394157135,74,4.223269704959929,0.3602360720986376,378,460,932,1183,838,2115
neighborhoodB,319162929,shortest path,1639.9773063151838,23.71132157778231,1422.6792946669386,7,0,4810.0,1639.9773063151838,1.424918684582258,1150.9269434528992,79,4.1498588788535224,0.42683517467251375,88,400,214,1028,488,1242
neighborhoodB,319162929,few_traffic_lights path,1749.550984406296,24.23948706087559,1454.3692236525353,5,0,7060.0,1712.3428445422037,1.5201234051897883,1150.9269434528992,70,4.330663384119726,0.28578761319703594,1061,2193,2462,5204,3254,7666
neighborhoodB,319162929,safest path,1810.3730046387727,24.253173299113215,1455.190397946793,5,0,3710.0,5520.373004638772,1.5729695224680964,1150.9269434528992,77,4.478687342835174,0.2761861774997943,445,633,1081,1571,1078,2652
neighborhoodB,319162929,fastest path,1694.6964091190862,24.024920655137013,1441.4952393082208,6,0,7110.0,1441.4952393082208,1.472462191244583,1150.9269434528992,71,4.232346321002461,0.35404571389390255,294,535,696,1354,829,2050
neighborhoodB,319162932,shortest path,1762.7352976943826,24.544071441913722,1472.6442865148233,6,0,6010.0,1762.7352976943826,1.3374729767478926,1317.9595613068225,88,4.309151320389754,0.340380090411071,316,338,769,875,654,1644
neighborhoodB,319162932,few_traffic_lights path,1852.6395638763056,24.48165567982319,1468.8993407893915,3,2,5580.0,1548.423847356707,1.405687714757592,1317.9595613068225,82,4.540476154322792,0.1619311202511003,2021,1095,4612,2642,3116,7254
