neighborhood,algorithm,count,distance_meters_mean,time_minutes_mean,traffic_signals_mean,crossings_mean,detour_factor_mean,straight_line_distance_mean,num_path_nodes_mean,avg_walking_speed_kmh_mean,signal_density_per_100m_mean,expansions_total_mean,edges_scanned_total_mean
neighborhoodB,fastest path,340,1677.68,23.2,5.04,0.48,1.37,1235.06,80.71,4.33,0.31,907.91,2250.01
neighborhoodB,few_traffic_lights path,340,1919.29,25.39,3.16,1.54,1.57,1235.06,89.16,4.52,0.18,3010.17,7034.16
neighborhoodB,safest path,340,1979.2,26.1,5.11,0.02,1.61,1235.06,84.26,4.53,0.27,1203.96,2955.98
neighborhoodB,shortest path,340,1652.46,23.71,6.7,0.01,1.34,1235.06,75.87,4.17,0.42,517.82,1312.96
neighborhoodD,fastest path,720,1356.74,17.79,2.63,0.02,1.44,951.31,59.24,4.55,0.21,544.23,1397.53
neighborhoodD,few_traffic_lights path,720,1426.14,18.58,2.0,0.01,1.52,951.31,69.91,4.57,0.15,1576.2,3903.07
neighborhoodD,safest path,720,1565.76,19.97,2.6,0.11,1.65,951.31,63.25,4.68,0.18,986.04,2500.22
neighborhoodD,shortest path,720,1353.51,18.43,3.37,0.03,1.44,951.31,61.77,4.38,0.27,360.79,932.74
neighborhoodOldV,fastest path,121,997.16,12.46,0.02,0.01,1.76,585.77,53.86,4.81,0.0,342.45,876.18
neighborhoodOldV,few_traffic_lights path,121,996.73,12.58,0.02,0.0,1.76,585.77,52.06,4.76,0.0,317.27,809.79
neighborhoodOldV,safest path,121,1154.19,14.58,0.5,0.78,2.01,585.77,51.66,4.77,0.04,591.81,1500.15
neighborhoodOldV,shortest path,121,992.01,12.63,0.24,0.01,1.75,585.77,51.69,4.72,0.02,302.16,772.9
